"country","n","n_local","n_ext","per_local","per_ext"
"England",533,172,361,32.2701688555347,67.7298311444653
"Italy",550,202,348,36.7272727272727,63.2727272727273
"Portugal",498,192,306,38.5542168674699,61.4457831325301
"France",465,192,273,41.2903225806452,58.7096774193548
"United States",813,358,455,44.0344403444034,55.9655596555966
"Germany",502,257,245,51.195219123506,48.804780876494
"Spain",507,295,212,58.1854043392505,41.8145956607495
"Russia",419,256,163,61.0978520286396,38.9021479713604
"Mexico",471,310,161,65.8174097664543,34.1825902335456
"Ecuador",453,339,114,74.8344370860927,25.1655629139073
"Chile",418,314,104,75.1196172248804,24.8803827751196
"Bolivia",572,433,139,75.6993006993007,24.3006993006993
"Peru",513,390,123,76.0233918128655,23.9766081871345
"Brazil",617,496,121,80.3889789303079,19.6110210696921
"Paraguay",432,361,71,83.5648148148148,16.4351851851852
"Argentina",809,680,129,84.0543881334982,15.9456118665019
"Venezuela",438,373,65,85.1598173515982,14.8401826484018
"Uruguay",483,429,54,88.8198757763975,11.1801242236025
"Colombia",624,565,59,90.5448717948718,9.4551282051282
